clae,clae6_desc,prestadores,establecimientos,edicion,clae3,clae3_desc,clae2,clae2_desc,letra,letra_desc
492150,"Servicio de transporte automotor interurbano regular de pasajeros, E1203excepto transporte internacional (Incluye los llamados servicios de larga distancia)",88,209,previaje 5,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberÃ­as,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492160,Servicio de transporte automotor interurbano no regular de pasajeros,14,14,previaje 5,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberÃ­as,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492180,Servicio de transporte automotor turÃ­stico de pasajeros,151,159,previaje 5,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberÃ­as,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492190,Servicio de transporte automotor de pasajeros n.c.p.,48,50,previaje 5,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberÃ­as,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
501100,Servicio de transporte marÃ­timo de pasajeros,22,22,previaje 5,501,Servicio de transporte marÃ­timo,50,Transporte marÃ­timo y pluvial,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
502101,Servicio de transporte fluvial y lacustre de pasajeros,18,18,previaje 5,502,Servicio de transporte fluvial y lacustre,50,Transporte marÃ­timo y pluvial,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
511000,Servicio de transporte aÃ©reo de pasajeros,3,3,previaje 5,511,Servicio de transporte aÃ©reo de pasajeros,51,Transporte aÃ©reo,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
551022,"Servicios de alojamiento en hoteles, hosterÃ­as y residenciales similares, excepto por hora, que incluyen servicio de restaurante al pÃºblico",1213,1390,previaje 5,551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
551023,"Servicios de alojamiento en hoteles, hosterÃ­as y residenciales similares, excepto por hora, que no incluyen servicio de restaurante al pÃºblico",2763,2959,previaje 5,551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
551090,"Servicios de hospedaje temporal n.c.p. (Incluye hospedaje en estancias, residencias para estudiantes y albergues juveniles, apartamentos turÃ­sticos, etc.)",2165,2378,previaje 5,551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
552000,Servicios de alojamiento en campings (Incluye refugios de montaÃ±a),73,77,previaje 5,552,Servicios de alojamiento en campings,55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
771110,Alquiler de automÃ³viles sin conductor,231,350,previaje 5,771,Alquiler de vehÃ­culos automotores y equipo de transporte sin conductor ni operarios,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
771190,"Alquiler de vehÃ­culos automotores n.c.p., sin conductor ni operarios (Incluye: camiones, remolques, etc.)",42,58,previaje 5,771,Alquiler de vehÃ­culos automotores y equipo de transporte sin conductor ni operarios,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
771290,"Alquiler de equipo de transporte n.c.p. sin conductor ni operarios (Incluye: equipo ferroviario, motocicletas)",14,17,previaje 5,771,Alquiler de vehÃ­culos automotores y equipo de transporte sin conductor ni operarios,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
791100,Servicios minoristas de agencias de viajes,3132,3297,previaje 5,791,Servicios de agencias de viaje y otras actividades complementarias de apoyo turÃ­stico,79,"Agencias de viajes, servicios de reservas y actividades conexas",N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
791200,Servicios mayoristas de agencias de viajes,248,283,previaje 5,791,Servicios de agencias de viaje y otras actividades complementarias de apoyo turÃ­stico,79,"Agencias de viajes, servicios de reservas y actividades conexas",N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
791901,Servicios de turismo aventura,205,213,previaje 5,791,Servicios de agencias de viaje y otras actividades complementarias de apoyo turÃ­stico,79,"Agencias de viajes, servicios de reservas y actividades conexas",N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
791909,Servicios complementarios de apoyo turÃ­stico n.c.p.,267,281,previaje 5,791,Servicios de agencias de viaje y otras actividades complementarias de apoyo turÃ­stico,79,"Agencias de viajes, servicios de reservas y actividades conexas",N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
841100,"Servicios generales de la AdministraciÃ³n PÃºblica (Incluye el desempeÃ±o de funciones ejecutivas y legislativas de administraciÃ³n por parte de las entidades de la administraciÃ³n central, regional y local, la administraciÃ³n y supervisiÃ³n de asuntos fiscales, la aplicaciÃ³n del presupuesto y la gestiÃ³n de los fondos pÃºblicos y la deuda pÃºblica, la gestiÃ³n administrativa de servicios estadÃ­sticos y sociolÃ³gicos y de planificaciÃ³n social y econÃ³mica a distintos niveles de la administraciÃ³n)",1,1,previaje 5,841,Servicios de la AdministraciÃ³n PÃºblica,84,"AdministraciÃ³n pÃºblica, defensa y seguridad social",O,"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA"
910200,Servicios de museos y preservaciÃ³n de lugares y edificios histÃ³ricos,4,4,previaje 5,910,"Servicios de bibliotecas, archivos y museos y  servicios culturales ncp",91,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",R,"SERVICIOS  ARTÃSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
910300,"Servicios de jardines botÃ¡nicos, zoolÃ³gicos y de parques nacionales",4,4,previaje 5,910,"Servicios de bibliotecas, archivos y museos y  servicios culturales ncp",91,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",R,"SERVICIOS  ARTÃSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
939010,Servicios de parques de diversiones y parques temÃ¡ticos,8,8,previaje 5,939,Servicios de esparcimiento ncp,93,"Actividades deportivas, recreativas y de entretenimiento",R,"SERVICIOS  ARTÃSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
942000,Servicios de sindicatos,3,3,previaje 5,942,Servicios de sindicatos,94,Servicios de asociaciones,S,SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES
949910,"Servicios de mutuales, excepto mutuales de salud y financieras",10,10,previaje 5,949,Servicios de asociaciones ncp,94,Servicios de asociaciones,S,SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES
949990,Servicios de asociaciones n.c.p.,23,35,previaje 5,949,Servicios de asociaciones ncp,94,Servicios de asociaciones,S,SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES
