clae,clae6_desc,prestadores,establecimientos,edicion,clae3,clae3_desc,clae2,clae2_desc,letra,letra_desc
561013,"Servicios de """"fast food"""" y locales de venta de comidas y bebidas al paso (Incluye el expendio de hamburguesas, productos lÃ¡cteos excepto helados, etc.)",79,s/d,previaje 1,561,Servicios de expendio de comidas y bebidas,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
561014,"Servicios de expendio de bebidas en bares (Incluye: bares, cervecerÃ­as, pubs, cafeterÃ­as)",44,s/d,previaje 1,561,Servicios de expendio de comidas y bebidas,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
561019,Servicios de expendio de comidas y bebidas en establecimientos con servicio de mesa y/o en mostrador n.c.p.,512,s/d,previaje 1,561,Servicios de expendio de comidas y bebidas,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
561030,Servicio de expendio de helados,61,s/d,previaje 1,561,Servicios de expendio de comidas y bebidas,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
562010,"Servicios de preparaciÃ³n de comidas para empresas y eventos (Incluye el servicio de catering, el suministro de comidas para banquetes, bodas, fiestas y otras celebraciones, comidas para hospital, etc.)",14,s/d,previaje 1,562,Servicios de preparaciÃ³n de comidas para empresas y  servicios de comidas ncp,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
562099,Servicios de comidas n.c.p.,20,s/d,previaje 1,562,Servicios de preparaciÃ³n de comidas para empresas y  servicios de comidas ncp,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
591300,ExhibiciÃ³n de filmes y videocintas,23,s/d,previaje 1,591,Servicios de cinematografÃ­a,59,Servicios audiovisuales,J,INFORMACIÃ“N Y COMUNICACIONES
681010,"Servicios de alquiler y explotaciÃ³n de inmuebles para fiestas, convenciones y otros eventos similares",23,s/d,previaje 1,681,"Servicios inmobiliarios realizados por cuenta propia, con bienes propios o arrendados",68,Servicios inmobiliarios,L,SERVICIOS INMOBILIARIOS
771110,Alquiler de automÃ³viles sin conductor,209,s/d,previaje 1,771,Alquiler de vehÃ­culos automotores y equipo de transporte sin conductor ni operarios,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
771190,"Alquiler de vehÃ­culos automotores n.c.p., sin conductor ni operarios (Incluye: camiones, remolques, etc.)",20,s/d,previaje 1,771,Alquiler de vehÃ­culos automotores y equipo de transporte sin conductor ni operarios,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
771210,"Alquiler de equipo de transporte para vÃ­a acuÃ¡tica, sin operarios ni tripulaciÃ³n",2,s/d,previaje 1,771,Alquiler de vehÃ­culos automotores y equipo de transporte sin conductor ni operarios,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
771290,"Alquiler de equipo de transporte n.c.p. sin conductor ni operarios (Incluye: equipo ferroviario, motocicletas)",18,s/d,previaje 1,771,Alquiler de vehÃ­culos automotores y equipo de transporte sin conductor ni operarios,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
772099,Alquiler de efectos personales y enseres domÃ©sticos n.c.p. (Incluye alquiler de artÃ­culos deportivos),23,s/d,previaje 1,772,Alquiler de efectos personales y enseres domÃ©sticos,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
